"Denver_Building_Id","Compliance_Status","Property_Name","Street","Zipcode","Year_Built","Address_Source","Address_Type","Master_Property_Type","Primary_Property_Type___EPA_Calculated","Assessor_Sector","Government_Type","Master_Sq_Ft","Reported_for_Year","ENERGY_STAR_Score","Site_Energy_Use__kBtu_","Site_EUI__kBtu_sq_ft_","Weather_Normalized_Site_Energy_Use","Weather_Normalized_Site_EUI__kBtu_sq_ft_","Electricity_use_Grid_Purchase_and_Onsite","Electricity_Use___Grid_Purchase__kWh_","Electricity_Use_Onsite_Renewable__kWh_","Green_Power___Offsite__kWh_","Green_Power___Onsite__kWh_","Natural_Gas_Use__kBtu_","District_Steam_Use__kBtu_","District_Chilled_Water_use__kBtu_","Total_GHG_Emissions__Metric_Tons_C02e_","ENERGY_STAR_Certification_Year_s__Cert","Recent_Energy_Star_Certification"
6189,Not Submitted,STORQUEST SELF-STORAGE A,18815 E 60TH AVE,80019,2020,Assessor Data,Building,INDUSTRIAL-WAREHOUSE,,INDUSTRIAL-WAREHOUSE,,67865,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1559,Not Submitted,Shops at Northfield Stapleton,8340 Northfield Blvd.,80238,2005,Portfolio Manager,Building,Lifestyle Center,Lifestyle Center,Commercial,,1125000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6175,Not Submitted,SATORI APTS,958 N LINCOLN ST,80203,2019,Assessor Data,Building,RESIDENTIAL-APARTMENT,,RESIDENTIAL-APARTMENT,,25704,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6161,Exempt,UNIT 1,2101 ARAPAHOE ST,80205,2019,Assessor Data,Building,COMMERCIAL-CONDOMINIUM,,COMMERCIAL-CONDOMINIUM,,60041,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6148,Not Submitted,,3770 WALNUT ST,80205,2019,Assessor Data,Building,COMMERCIAL-HOTEL,,COMMERCIAL-HOTEL,,109332,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6160,Exempt,MEOW WOLF,1338 1ST ST,80204,2019,Assessor Data,Building,COMMERCIAL-OFFICE,,COMMERCIAL-OFFICE,,81896,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6174,Not Submitted,10TH & ACOMA,140 10TH AVE W,80204,2019,Assessor Data,Building,RETAIL W/MIXED USE,,RETAIL W/MIXED USE,,4195,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6169,Not Submitted,SJ OUTPATIENT MED,1818 N OGDEN ST,80218,2019,Assessor Data,Building,COMMERCIAL-MEDICAL OFFICE,,COMMERCIAL-MEDICAL OFFICE,,96162,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6163,Not Submitted,UNIT 2,2101 ARAPAHOE ST,80205,2019,Assessor Data,Building,COMMERCIAL-CONDOMINIUM,,COMMERCIAL-CONDOMINIUM,,60041,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6136,Not Submitted,,5203 N HAVANA ST,80239,2019,Assessor Data,Building,INDUSTRIAL-WAREHOUSE,,INDUSTRIAL-WAREHOUSE,,209078,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
