city,property_id,property_name,property_type,site_eui,energy_star_score,total_ghg_mtco2e,zip,gross_floor_area_sqft
denver,6189,STORQUEST SELF-STORAGE A,INDUSTRIAL-WAREHOUSE,,,,80019,
denver,1559,Shops at Northfield Stapleton,Lifestyle Center,,,,80238,
denver,6175,SATORI APTS,RESIDENTIAL-APARTMENT,,,,80203,
denver,6161,UNIT 1,COMMERCIAL-CONDOMINIUM,,,,80205,
denver,6148,,COMMERCIAL-HOTEL,,,,80205,
denver,6160,MEOW WOLF,COMMERCIAL-OFFICE,,,,80204,
denver,6174,10TH & ACOMA,RETAIL W/MIXED USE,,,,80204,
denver,6169,SJ OUTPATIENT MED,COMMERCIAL-MEDICAL OFFICE,,,,80218,
denver,6163,UNIT 2,COMMERCIAL-CONDOMINIUM,,,,80205,
denver,6136,,INDUSTRIAL-WAREHOUSE,,,,80239,
denver,6156,FEDERAL APARTMENTS,RESIDENTIAL-APARTMENT,,,,80204,
denver,6217,,COMMERCIAL-OFFICE,,,,80206-5126,
denver,6137,HOME2SUITES - HILTON,COMMERCIAL-HOTEL,,,,80238,
denver,3913,Teikyo Loretto Heights University,Commercial/Residential Mixed-use,,,,80236-2711,
denver,6201,,RESIDENTIAL-CONDOMINIUM,,,,80206,
denver,6145,35TH & BLAKE OFFICE,COMMERCIAL-OFFICE,,,,80205,
denver,5957,,Multi-family Condominium,,,,80206-5557,
denver,6130,York Space Systems,INDUSTRIAL - SCHOOL,,,,80204,
denver,6204,,RESIDENTIAL-CONDOMINIUM,,,,80224,
denver,6197,,RESIDENTIAL-CONDOMINIUM,,,,80211,
denver,5414,,Commercial Condominium,,,,80202,
denver,6138,SPROUTS GROCERY,COMMERCIAL-RETAIL,,,,80238,
denver,5953,,Multi-family Condominium,,,,80203-1487,
denver,6205,,RESIDENTIAL-CONDOMINIUM,,,,80224,
denver,2022,Auraria Student Housing at The Regency,Residence Hall/Dormitory,,,,80216,
denver,6141,THE HUB 2 OFFICE,COMMERCIAL-OFFICE,,,,80205,
denver,5180,La Mirada Condominiums,Multi-family Condominium,,,,,
denver,6114,,INDUSTRIAL - WAREHOUSEv,,,,802016,
denver,1271,Kroger / King Soopers - Stapleton,Refrigerated Warehouse,,,,80239,
denver,6172,SHERIDAN STATION,RESIDENTIAL-APARTMENT,,,,80214,
denver,6215,,RETAIL W/MIXED USE,,,,80216,
denver,6182,CENTURA HEALTH,COMMERCIAL-MEDICAL OFFICE,,,,80224,
denver,6164,UNIT 3,COMMERCIAL-CONDOMINIUM,,,,80205,
denver,3912,Teikyo Loretto Heights University,Commercial/Residential Mixed-use,,,,80236-2711,
denver,2141,Gilliam Youth Services Center,Other - Public Services,,,,80205,
denver,6159,THOMPSON HOTEL,COMMERCIAL-HOTEL,,,,80202,
denver,3608,Marlee Shopping Center,Other - Mall,,,,80219,
denver,2672,,Commercial/Residential Mixed-use,,,,80203,
denver,6143,REVOLUTION 360,COMMERCIAL-OFFICE,,,,80216,
denver,6190,FUTURE VIB HOTEL,COMMERCIAL-HOTEL,,,,80216,
denver,5264,,Multi-family,,,,,
denver,6203,,RESIDENTIAL-CONDOMINIUM,,,,80224,
denver,6131,AVID HOTEL,COMMERCIAL-HOTEL,,,,80249,
denver,1966,The Lofts at Berkeley Park,Multi-family Condominium,,,,,
denver,6158,1800 MARKET COMM,RETAIL W/MIXED USE,,,,80202,
denver,3505,Westerra Credit Union,Financial Office,,,,80209,
denver,5514,,Multi-family Condominium,,,,,
denver,6173,DHA OUTPATIENT CLINI,COMMERCIAL-MEDICAL OFFICE,,,,80204,
denver,5854,4255 W Colfax Ave,MOVIE THEATER,,,,80204,
denver,2106,,Commercial Condominium,,,,80216,
denver,5289,,Commercial/Residential Mixed-use,,,,80203-3916,
denver,6180,3-STORY SE BUILDING,COMMERCIAL-SHOPPING CENTER,,,,80224,
denver,3386,Security Service F.C.U. ID #3386,BANK BRANCH,,,,80209,
denver,1881,superior farms,Parking,,,,80216,
denver,6165,UNIT 4,COMMERCIAL-CONDOMINIUM,,,,80205,
denver,6188,FAIRFIELD INN BY MARRIOTT,COMMERCIAL-HOTEL,,,,80239,
denver,6153,MCGREGOR SQ-OFFICE,COMMERCIAL-OFFICE,,,,80202,
denver,2562,Denver FGA/GHL Terminal (830126),Transportation Terminal/Station,,,,80202,
denver,5126,Sports Castle,Other - Services,,,,80203,
denver,6149,MARION STREET APTS,RESIDENTIAL-APARTMENT,,,,80205,
denver,1366,6530 - Denver DC (Stapleton and Dahlia Campus),Refrigerated Warehouse,,,,80216,
denver,4408,Emich Volkswagen,AUTOMOBILE DEALERSHIP,,,,80246,
denver,2497,Glenarm Restaurant Concepts,Bar/Nightclub,,,,80204,
denver,2486,Denver Athletic Club,Fitness Center/Health Club/Gym,,,,80204,
denver,5378,3300 High St Condos,Multi-family Condominium,,,,,
denver,6196,,RESIDENTIAL-CONDOMINIUM,,,,80211,
denver,6198,,RESIDENTIAL-CONDOMINIUM,,,,80204,
denver,4940,Fort Logan - Colorado Mental Heath Institute,Other - Specialty Hospital,,,,80236,
denver,4545,APP_UniPath,LABORATORY,,,,80222,
denver,6178,INN @ CHERRY CREEK,COMMERCIAL-HOTEL,,,,80206,
denver,2816,Pecos 2 llc,Other - Mall,,,,80227,
denver,6127,Milo Apartments,Multifamily,,,,80220,
denver,2140,Downing Street Station Condominiums,Multi-family Condominium,,,,,
denver,6168,REST & OFC,COMMERCIAL-OFFICE,,,,80205,
denver,5948,,Multi-family Condominium,,,,80238-2636,
denver,2664,,Commercial/Residential Mixed-use,,,,80203,
denver,4022,"East First Avenue, LLC",Outpatient Rehabilitation/Physical Therapy,133.8,0.0,387.9,80230,
denver,3459,Cherry Creek,Enclosed Mall,68.3,0.0,11527.8,80206,
denver,1810,Blessed Sacrament Catholic School Report,Other - Education,20.1,0.0,148.7,80220,
denver,1612,Whole Fresh Foods,Refrigerated Warehouse,64.9,54.0,214.3,80239,
denver,5191,Briarwood Health Care,RESIDENTIAL CARE FACILITY,64.3,0.0,374.6,80206,
denver,2156,Blue Moon Brewing Company ID2156,Other - Restaurant/Bar,260.8,0.0,620.1,80216,
denver,4598,"Welshire Plaza, LLC",Other - Mall,97.7,0.0,453.9,80222,
denver,5021,AutoNation Chrysler Dodge Jeep Ram Southwest,AUTOMOBILE DEALERSHIP,124.8,0.0,492.7,80123,
denver,1457,NORTH HOLLY COMBINED MAT LABS & RESIDENCIES,LABORATORY,64.3,0.0,614.7,80216,
denver,3777,Centura Training Center,ADULT EDUCATION,81.1,0.0,328.0,80210,
denver,4373,Bowlero Cherry Creek,Bowling Alley,51.6,0.0,264.1,80224,
denver,1763,Sam's Club #4777,Wholesale Club/Supercenter,128.0,20.0,1912.0,80208,
denver,2860,National Jewish Health,Other - Specialty Hospital,283.0,0.0,16871.1,80206,
