city,property_id,property_name,year,property_type,gross_floor_area_sqft,energy_star_score,electricity_kbtu,natural_gas_kbtu,water_kgal,chicago_energy_rating,address,zip,year_built
chicago,256833,,2020,,206584.0,,,,,,145 South Wells,,
chicago,256264,Michigan Avenue Gardens,2020,,53143.0,,,,,0.0,1808 S Michigan,,
chicago,256606,Pullman Industrial Center,2020,,526349.0,,,,,0.0,900 East 103rd Street,,
chicago,256832,,2020,,217628.0,,,,,,4155 S Packers Ave,,
chicago,256608,Laystrom Manufacturing Company,2020,,76600.0,,,,,0.0,3900 W Palmer St,,
chicago,255977,,2020,,97000.0,,,,,0.0,3905-29 N. Western Ave.,,
chicago,256653,,2020,,50000.0,,,,,0.0,3212 West Diversey Ave,,
chicago,256607,The Edge on Broadway,2020,,72800.0,,,,,,6149 N. Broadway,,
chicago,256645,Coeval 2,2020,,53352.0,,,,,0.0,1419 S Wabash Ave,,
chicago,256842,,2020,,60718.0,,,,,,2017 Mendell St,,
chicago,256659,3161 N lIncoln,2020,,24000.0,,,,,0.0,3145-61 N Lincoln,,
chicago,256675,Signature Lofts,2020,,76256.0,,,,,0.0,1750 N Wolcott Avenue,,
chicago,256830,,2020,,100000.0,,,,,,717 S. Wells,,
chicago,256826,,2020,,140646.0,,,,,0.0,1201 W Lake Street,,
chicago,256646,Coeval 1,2020,,184905.0,,,,,2.5,51 E 145h Street,,
chicago,256779,,2020,,86976.0,,,,,0.0,1342 W TAYLOR ST,,
chicago,256647,,2020,,54884.0,,,,,0.0,2356 East 70th Street,,
chicago,256795,,2020,,50000.0,,,,,,2845 W BELDEN AVE,,
chicago,256806,,2020,,50000.0,,,,,0.0,3435 W MONTROSE AVE,,
chicago,256856,,2020,,294973.0,,,,,,2201 Lakeside Blvd,,
chicago,256656,,2020,,50000.0,,,,,0.0,2600 North Kedzie Ave,,
chicago,256759,,2020,,57390.0,,,,,0.0,1533 W.Warren Blvd,,
chicago,256614,Block 37,2020,Enclosed Mall,572359.0,,32962325.4,3069675.2,,1.0,108 North State Street,,2009.0
chicago,256838,,2020,Hospital (General Medical & Surgical),5441713.0,7.0,625686586.2,6752333.9,,1.0,5841 S. Maryland Ave MC0985,,1926.0
chicago,256840,,2020,Mixed Use Property,64582.0,,,,,,1643 N Milwaukee Avenue,,1894.0
chicago,256077,Thornwood House Apartments (University Park),2020,Multifamily Housing,142622.0,77.0,3004340.4,6584612.4,,3.5,1 Thornwood Drive,,1975.0
chicago,256674,Cityview Lofts,2020,Multifamily Housing,50590.0,53.0,941503.9,2163344.1,,2.5,1259 N Wood Street,,1909.0
chicago,256727,The Jax,2020,Multifamily Housing,129646.0,73.0,2618273.3,6713600.3,,3.5,1220 W. Jackson Blvd,,2020.0
chicago,256670,,2020,Multifamily Housing,80144.0,83.0,1251890.1,2184178.3,,4.0,1 S Leavitt Street,,2004.0
chicago,256080,Oakwood Shores 2D,2020,Multifamily Housing,198993.0,98.0,3593394.7,3817348.8,,4.0,3744-54 S ELLIS AVE,,2005.0
chicago,256667,Oakwood Court,2020,Multifamily Housing,134153.0,98.0,712974.9,4076913.3,,4.0,6547 N Harlem Avenue,,1970.0
chicago,256672,River Walk Townhomes,2020,Multifamily Housing,96737.0,64.0,1549174.3,4233378.4,,3.0,2903-2923 N Claremont Ave,,2004.0
chicago,256673,Harding Court,2020,Multifamily Housing,51824.0,97.0,625146.7,1713754.3,,4.0,4845-4859 N Harding,,1960.0
chicago,256671,Chantico Lofts,2020,Multifamily Housing,74104.0,89.0,707290.5,2394902.6,,4.0,1061 W 16th Street,,2007.0
chicago,256634,The Burnham at Woodlawn Park,2020,Multifamily Housing,73673.0,53.0,2464128.6,1418806.9,,2.5,6134 S. Cottage Grove Avenue,,2015.0
