city,property_id,property_name,property_type,site_eui,energy_star_score,total_ghg_mtco2e,address,zip
denver,6189,STORQUEST SELF-STORAGE A,INDUSTRIAL-WAREHOUSE,,,,Assessor Data,80019
denver,1559,Shops at Northfield Stapleton,Lifestyle Center,,,,Portfolio Manager,80238
denver,6175,SATORI APTS,RESIDENTIAL-APARTMENT,,,,Assessor Data,80203
denver,6161,UNIT 1,COMMERCIAL-CONDOMINIUM,,,,Assessor Data,80205
denver,6148,,COMMERCIAL-HOTEL,,,,Assessor Data,80205
denver,6160,MEOW WOLF,COMMERCIAL-OFFICE,,,,Assessor Data,80204
denver,6174,10TH & ACOMA,RETAIL W/MIXED USE,,,,Assessor Data,80204
denver,6169,SJ OUTPATIENT MED,COMMERCIAL-MEDICAL OFFICE,,,,Assessor Data,80218
denver,6163,UNIT 2,COMMERCIAL-CONDOMINIUM,,,,Assessor Data,80205
denver,6136,,INDUSTRIAL-WAREHOUSE,,,,Assessor Data,80239
denver,6156,FEDERAL APARTMENTS,RESIDENTIAL-APARTMENT,,,,Assessor Data,80204
denver,6217,,COMMERCIAL-OFFICE,,,,Assessor Data,80206-5126
denver,6137,HOME2SUITES - HILTON,COMMERCIAL-HOTEL,,,,Assessor Data,80238
denver,3913,Teikyo Loretto Heights University,Commercial/Residential Mixed-use,,,,Assessor Data,80236-2711
denver,6201,,RESIDENTIAL-CONDOMINIUM,,,,Assessor Data,80206
denver,6145,35TH & BLAKE OFFICE,COMMERCIAL-OFFICE,,,,Assessor Data,80205
denver,5957,,Multi-family Condominium,,,,Assessor Data,80206-5557
denver,6130,York Space Systems,INDUSTRIAL - SCHOOL,,,,Corrected Building Address,80204
denver,6204,,RESIDENTIAL-CONDOMINIUM,,,,Assessor Data,80224
denver,6197,,RESIDENTIAL-CONDOMINIUM,,,,Assessor Data,80211
denver,5414,,Commercial Condominium,,,,Assessor Data,80202
denver,6138,SPROUTS GROCERY,COMMERCIAL-RETAIL,,,,Assessor Data,80238
denver,5953,,Multi-family Condominium,,,,Assessor Data,80203-1487
denver,6205,,RESIDENTIAL-CONDOMINIUM,,,,Assessor Data,80224
denver,2022,Auraria Student Housing at The Regency,Residence Hall/Dormitory,,,,Portfolio Manager,80216
denver,6141,THE HUB 2 OFFICE,COMMERCIAL-OFFICE,,,,Assessor Data,80205
denver,5180,La Mirada Condominiums,Multi-family Condominium,,,,Assessor Data,
denver,6114,,INDUSTRIAL - WAREHOUSEv,,,,Assessor Data,802016
denver,1271,Kroger / King Soopers - Stapleton,Refrigerated Warehouse,,,,Portfolio Manager,80239
denver,6172,SHERIDAN STATION,RESIDENTIAL-APARTMENT,,,,Assessor Data,80214
denver,6215,,RETAIL W/MIXED USE,,,,Assessor Data,80216
denver,6182,CENTURA HEALTH,COMMERCIAL-MEDICAL OFFICE,,,,Assessor Data,80224
denver,6164,UNIT 3,COMMERCIAL-CONDOMINIUM,,,,Assessor Data,80205
denver,3912,Teikyo Loretto Heights University,Commercial/Residential Mixed-use,,,,Assessor Data,80236-2711
denver,2141,Gilliam Youth Services Center,Other - Public Services,,,,Portfolio Manager,80205
denver,6159,THOMPSON HOTEL,COMMERCIAL-HOTEL,,,,Assessor Data,80202
denver,3608,Marlee Shopping Center,Other - Mall,,,,Portfolio Manager,80219
denver,2672,,Commercial/Residential Mixed-use,,,,Assessor Data,80203
