city,property_id,property_name,gross_floor_area_sqft,site_eui,energy_star_score,total_ghg_mtco2e,address,zip,year_built
philadelphia,,South Philadelphia Station ZSPH/190 – 1 Tinicum Island Road,154048.0,62.0,9.0,712.5, 1 Tinicum Island Road,19113,1996
philadelphia,771013000,Gibbon Building,778752.0,253.0,37.0,16179.9,111 South11th Street,19107-5098,1978
philadelphia,771013000,Foerderer Pavilion,233930.0,253.3,48.0,4688.1,117 South 11th Street,19107-4998,1954
philadelphia,771015010,Bluemle Life Science Building,287286.0,274.3,,6540.9,951 Locust Street,19107-5541,1991
philadelphia,771016500,Jefferson Alumni Hall,455711.0,286.5,,10291.5,1020 Locust Street,19107-6799,1968
philadelphia,771019000,Scott Memorial Library,111970.0,108.2,,1090.8,1020 Walnut Street,19107-5587,1976
philadelphia,771019000,Martin Building,81525.0,82.8,51.0,539.3,201 South 11th Street,19107-5595,1959
philadelphia,771020000,Thompson Building,171219.0,177.3,91.0,2417.0,1020 Sansom Street,19107-5004,1925
philadelphia,771020000,College Building,191783.0,174.8,10.0,2718.8,1025 Walnut Street,19107-4083,1928
philadelphia,771020000,Curtis Building,136566.0,130.2,34.0,1381.0,1015 Walnut Street,19107-5099,1928
philadelphia,771020000,Main Building,169807.0,176.6,91.0,2365.5,132 S. 10th Street,19107-5244,1906
philadelphia,771020500,Medical Office Building,82972.0,105.1,22.0,821.4,1100-04 Walnut Street,19107-5563,1985
philadelphia,771021000,Edison Building,244109.0,76.5,48.0,1564.0,130 South 9th Street,19107-5233,1930
philadelphia,774577000,Overbrook School for the Blind,375473.0,54.8,99.0,907.3,6333 Malvern Avenue,19151,1900
philadelphia,775107300,Everett Richardson,368193.0,60.3,,576.1,2800 West Cheltenham Avenue,19150,2006
philadelphia,775329000,St. Raymond of Penafort,61900.0,41.1,88.0,146.7,1350 E Vernon Road,19150,1950
philadelphia,778503000,Campus Center,89596.0,71.2,,462.0,9801 Frankford Avenue,19114-2009,1988
philadelphia,778771890,Tacony Academy Charter School,86492.0,29.3,100.0,141.0,6201 Keystone St,19135-3701,2015
philadelphia,78-8-0070-16,Building 990,70318.0,33.5,65.0,199.4,2001 Kitty Hawk Avenue,19112,1969
philadelphia,78-8-0099-00,Building 101 - CBRE,100766.0,68.6,63.0,360.3,4747 South Broad Street,19112,1911
philadelphia,783262200,Cassidy,59123.0,167.7,2.0,743.6,6523 LANDSDOWNE AVE,19151,1924
philadelphia,783262225,Overbrook Education Center,55128.0,64.5,35.0,263.2,6722 LANSDOWNE AVE,19151,1915
philadelphia,783600400,Lamberton,110193.0,37.7,97.0,316.6,7501 WOODBINE AVE,19151,1949
philadelphia,784269400,Leeds,168259.0,16.6,96.0,226.6,1100 E MT. PLEASANT AVE,19150,1955
philadelphia,784479400,Edmonds FS,80500.0,16.5,97.0,104.2,8025 THOURON AVE,19150,1949
philadelphia,788008020,"Urban Outfitters, Inc. - Building #017, 014",48129.0,82.3,54.0,288.5,1620 Kitty Hawk Ave,19112,1916
philadelphia,788008310,"Urban Outfitters, Inc. - Building #18",106698.0,136.1,31.0,1087.5,1620 Kitty Hawk Ave,19112,1916
philadelphia,788008310,"Urban Outfitters, Inc. - Building #010",53115.0,907.4,1.0,2710.0,5000 S Broad Street,19112,1903
philadelphia,881079300,Chimney Hill,124390.0,51.6,79.0,410.1,161 Leverington Avenue,19127,1994
philadelphia,881088800,The Isle,215806.0,36.0,67.0,550.2,1 Cotton Street,19127,2017
philadelphia,881089500,Ridge Carlton Apartments,161310.0,53.2,73.0,579.2,7373 Ridge Avenue,19128-3232,1970
philadelphia,881093010,HENRY ON THE PARK - Morgan,713859.0,65.6,54.0,2346.5,7901 HENRY AVE,19128-3060,1965
philadelphia,881121100,Sprucewood,20220.0,9.0,,10.8,4105 Spruce Street,19444,1920
philadelphia,881126002,Overbrook Tower - 1101 North 63rd St,14225.0,83.8,99.0,100.7,1101 North 63rd St,19151,1980
philadelphia,881155012,Laverock Apt.,83286.0,,,,1000 Ivy Hill Rd.,19150,2007
philadelphia,881196000,BROOKMONT APARTMENT HOMES - Morgan,225400.0,51.5,30.0,959.8,600 RED LION RD,219115-1246,1971
philadelphia,881230520,Harmony Place Assisted Living,88900.0,59.7,,358.6,8400 Roosevelt Boulevard,19452,1999
philadelphia,881447300,Caring Heart Rehabilition and Nursing Center,140000.0,80.7,88.0,839.7,6445 Germantown Ave,19119-2345,1955
philadelphia,881551176; 881179520,St Regis Apartments,362265.0,56.7,80.0,1227.0,2201 Tremont Street,19034,1968
philadelphia,882507900,1026-44 MARKET ST,89159.0,53.4,72.0,427.8,1026-44 MARKET ST,19107-4205,1960
philadelphia,883025600/883025300,123 S. Broad,1094000.0,59.4,,4980.3,123 S. Broad St.,19109,1928
philadelphia,883028250,401 North Broad Lessee LLC,1501343.0,314.5,,42916.1,401 North Broad,19108,1929
philadelphia,883082000,8800 Tinicum Blvd Eastwick Center/PA/Site #F166,936822.0,64.2,42.0,2743.4,8800 TINICUM BLVD,191533111,1990
