city,site_eui,energy_star_score,gross_floor_area_sqft,total_ghg_mtco2e,y_log_ghg
denver,133.8,0.0,,387.9,5.963322241161702
denver,68.3,0.0,,11527.8,9.352603531524151
denver,20.1,0.0,,148.7,5.008633291425583
denver,64.9,54.0,,214.3,5.372032404370318
denver,64.3,0.0,,374.6,5.928524747334108
denver,260.8,0.0,,620.1,6.431492099565257
denver,97.7,0.0,,453.9,6.120077614575958
denver,124.8,0.0,,492.7,6.201928045264817
denver,64.3,0.0,,614.7,6.422759831917165
denver,81.1,0.0,,328.0,5.796057750765372
denver,51.6,0.0,,264.1,5.5801071132949795
denver,128.0,20.0,,1912.0,7.556427969440253
denver,283.0,0.0,,16871.1,9.733416649120658
denver,91.6,0.0,,1399.6,7.244655995221417
denver,40.9,0.0,,348.3,5.855931151812786
denver,64.5,76.0,,246.6,5.511814540810441
denver,174.4,0.0,,1408.7,7.25113219477688
denver,83.7,0.0,,1148.3,7.046908340374713
denver,31.4,100.0,,309.6,5.738505910714586
denver,69.8,0.0,,959.1,6.867037445703578
denver,78.6,0.0,,2058.3,7.630121398211302
denver,166.3,0.0,,1635.7,7.4004372985118385
denver,59.7,65.0,,313.5,5.750984076140496
denver,38.3,88.0,,1228.1,7.114037473220935
denver,59.8,0.0,,696.7,6.547789210945191
denver,119.1,0.0,,512.5,6.241250029368613
denver,53.0,0.0,,5535.9,8.619190056338404
denver,54.3,0.0,,161.6,5.0912931971137105
denver,100.8,0.0,,252.6,5.535758222563071
denver,56.9,0.0,,119.1,4.788324729085938
denver,112.4,0.0,,2173.2,7.6844160597699
denver,64.3,0.0,,726.2,6.589201542863269
denver,121.5,25.0,,1730.8,7.4569166090137005
denver,45.8,0.0,,185.8,5.230038525794742
denver,80.8,49.0,,250.6,5.527840524826286
denver,74.5,0.0,,525.6,6.266441247062209
denver,194.5,0.0,,482.9,6.181878273799273
denver,55.3,50.0,,781.3,6.662238298691035
denver,83.5,0.0,,282.3,5.646506406836471
denver,28.6,0.0,,126.2,4.845760650906022
denver,43.4,0.0,,215.1,5.3757412635128405
denver,48.6,0.0,,86.4,4.470495282661489
denver,80.5,0.0,,441.9,6.093344010929153
denver,110.0,0.0,,2234.6,7.712264927395543
denver,175.5,0.0,,665.9,6.502640109638261
denver,82.1,0.0,,413.5,6.02707297457535
denver,29.9,0.0,,83.9,4.441474093317302
denver,130.3,0.0,,4403.8,8.390450134388344
denver,103.5,47.0,,631.7,6.449996376152838
denver,48.2,0.0,,112.3,4.730039168033961
denver,73.8,0.0,,351.9,5.8661847306812245
denver,0.0,0.0,,0.0,0.0
denver,66.2,0.0,,420.9,6.044768319130293
denver,0.0,0.0,,0.0,0.0
denver,38.9,0.0,,10106.0,9.220983532074662
